I_mag	crit_current_neg	crit_current_pos
-0.0025	-1340.0	1720.0
-0.00245	-1560.0	1860.0000000000002
-0.0024	-1720.0	1900.0
-0.00235	-1820.0	1839.9999999999998
-0.0023	-1839.9999999999998	1700.0
-0.00225	-1780.0	1480.0
-0.0022	-1620.0	1220.0
-0.00215	-1400.0	980.0000000000001
-0.0021	-1160.0	980.0000000000001
-0.00205	-940.0	1180.0
-0.002	-900.0	1420.0
-0.00195	-1180.0	1639.9999999999998
-0.0019	-1480.0	1839.9999999999998
-0.00185	-1720.0	2020.0
-0.0018	-1860.0000000000002	2039.9999999999998
-0.00175	-2000.0	1860.0000000000002
-0.0017	-1860.0000000000002	1660.0000000000002
-0.00165	-1720.0	1360.0
-0.0016	-1520.0	1019.9999999999999
-0.00155	-1260.0	860.0
-0.0015	-1000.0	1040.0
-0.00145	-819.9999999999999	1300.0
-0.0014	-1000.0	1540.0
-0.00135	-1380.0	1760.0000000000002
-0.0013	-1680.0	2020.0
-0.00125	-1880.0	2080.0
-0.0012	-2039.9999999999998	2039.9999999999998
-0.00115	-2020.0	1839.9999999999998
-0.0011	-1820.0	1580.0
-0.00105	-1620.0	1200.0
-0.001	-1380.0	819.9999999999999
-0.00095	-1060.0	960.0
-0.0009	-860.0	1180.0
-0.00085	-840.0	1440.0
-0.0008	-1240.0	1680.0
-0.00075	-1600.0	1880.0
-0.0007	-1900.0	2080.0
-0.00065	-2039.9999999999998	2100.0
-0.0006	-2060.0	2039.9999999999998
-0.00055	-1880.0	1700.0
-0.0005	-1720.0	1440.0
-0.00045	-1460.0	919.9999999999999
-0.0004	-1180.0	860.0
-0.00035	-960.0	1040.0
-0.0003	-760.0	1380.0
-0.00025	-1180.0	1639.9999999999998
-0.0002	-1500.0	1820.0
-0.00015	-1860.0000000000002	2060.0
-9.99999999999998e-05	-2060.0	2120.0
-5.00000000000001e-05	-2080.0	2100.0
0.0	-2039.9999999999998	2000.0
5.00000000000001e-05	-1820.0	1639.9999999999998
0.0001	-1600.0	1240.0
0.00015	-1420.0	880.0000000000001
0.0002	-1080.0	919.9999999999999
0.00025	-800.0	1200.0
0.0003	-819.9999999999999	1420.0
0.00035	-1340.0	1720.0
0.0004	-1700.0	2000.0
0.00045	-1920.0	2080.0
0.0005	-2080.0	2120.0
0.00055	-2060.0	2060.0
0.0006	-1900.0	1780.0
0.00065	-1720.0	1440.0
0.0007	-1480.0	1000.0
0.00075	-1200.0	819.9999999999999
0.0008	-919.9999999999999	1080.0
0.00085	-760.0	1360.0
0.0009	-1140.0	1620.0
0.00095	-1540.0	1839.9999999999998
0.001	-1839.9999999999998	2060.0
0.00105	-2060.0	2120.0
0.0011	-2080.0	2100.0
0.00115	-2020.0	1880.0
0.0012	-1800.0	1600.0
0.00125	-1580.0	1180.0
0.0013	-1320.0	780.0
0.00135	-1040.0	960.0
0.0014	-800.0	1240.0
0.00145	-900.0	1500.0
0.0015	-1340.0	1739.9999999999998
0.00155	-1639.9999999999998	1980.0
0.0016	-1920.0	2080.0
0.00165	-2060.0	2100.0
0.0017	-2039.9999999999998	2020.0
0.00175	-1860.0000000000002	1680.0
0.0018	-1680.0	1340.0
0.00185	-1440.0	900.0
0.0019	-1160.0	880.0000000000001
0.00195	-919.9999999999999	1120.0
0.002	-780.0	1380.0
0.00205	-1100.0	1639.9999999999998
0.0021	-1480.0	1839.9999999999998
0.00215	-1780.0	2039.9999999999998
0.0022	-1939.9999999999998	2060.0
0.00225	-2039.9999999999998	1960.0000000000002
0.0023	-1980.0	1760.0000000000002
0.00235	-1760.0000000000002	1460.0
0.0024	-1580.0	1160.0
0.00245	-1280.0	840.0
0.0025	-1040.0	1019.9999999999999
0.00255	-840.0	1280.0
0.0026	-940.0	1520.0
0.00265	-1300.0	1739.9999999999998
0.0027	-1600.0	1880.0
0.00275	-1820.0	2039.9999999999998
0.0028	-1920.0	1920.0
0.00285	-2000.0	1780.0
0.0029	-1800.0	1560.0
0.00295	-1639.9999999999998	1260.0
0.003	-1400.0	960.0
0.00305	-1160.0	940.0
0.0031	-960.0	1160.0
0.00315	-919.9999999999999	1400.0
0.0032	-1160.0	1639.9999999999998
0.00325	-1420.0	1800.0
0.0033	-1639.9999999999998	1880.0
0.00335	-1780.0	1880.0
0.0034	-1860.0000000000002	1760.0000000000002
0.00345	-1820.0	1600.0
0.0035	-1739.9999999999998	1440.0
0.00355	-1500.0	1160.0
0.0036	-1280.0	1000.0
0.00365	-1120.0	1060.0
0.0037	-1000.0	1300.0
0.00375	-1120.0	1540.0
0.0038	-1260.0	1680.0
0.00385	-1440.0	1800.0
0.0039	-1639.9999999999998	1800.0
0.00395	-1739.9999999999998	1739.9999999999998
0.004	-1800.0	1600.0
0.00405	-1720.0	1480.0
0.0041	-1620.0	1380.0
0.00415	-1420.0	1200.0
0.0042	-1180.0	1080.0
0.00425	-1100.0	1180.0
0.0043	-1180.0	1420.0
0.00435	-1260.0	1580.0
0.0044	-1360.0	1700.0
0.00445	-1440.0	1739.9999999999998
0.0045	-1580.0	1680.0
0.004525	-1660.0000000000002	1610.0000000000002
0.00455	-1700.0	1580.0
0.004575	-1730.0	1540.0
0.0046	-1720.0	1510.0
0.004625	-1710.0000000000002	1500.0
0.00465	-1660.0000000000002	1470.0
0.004675	-1570.0	1420.0
0.0047	-1500.0	1380.0
0.004725	-1390.0	1280.0
0.00475	-1290.0	1200.0
0.004775	-1240.0	1170.0
0.0048	-1210.0	1170.0
0.004825	-1210.0	1230.0
0.00485	-1250.0	1330.0
0.004875	-1300.0	1400.0
0.0049	-1350.0	1500.0
0.004925	-1370.0	1560.0
0.00495	-1380.0	1600.0
0.004975	-1380.0	1639.9999999999998
0.005	-1380.0	1639.9999999999998
0.005025	-1390.0	1620.0
0.00505	-1440.0	1570.0
0.005075	-1480.0	1540.0
0.0051	-1540.0	1510.0
0.005125	-1610.0000000000002	1490.0
0.00515	-1650.0	1500.0
0.005175	-1650.0	1510.0
0.0052	-1630.0	1530.0
0.005225	-1590.0	1520.0
0.00525	-1520.0	1500.0
0.005275	-1470.0	1470.0
0.0053	-1380.0	1390.0
0.005325	-1340.0	1340.0
0.00535	-1300.0	1280.0
0.005375	-1300.0	1260.0
0.0054	-1340.0	1290.0
0.005425	-1380.0	1330.0
0.00545	-1430.0	1410.0
0.005475	-1440.0	1460.0
0.0055	-1440.0	1520.0
0.005525	-1420.0	1550.0
0.00555	-1400.0	1560.0
0.005575	-1350.0	1540.0
0.0056	-1320.0	1500.0
0.005625	-1330.0	1460.0
0.00565	-1380.0	1420.0
0.005675	-1430.0	1410.0
0.0057	-1510.0	1440.0
0.005725	-1550.0	1470.0
0.00575	-1570.0	1530.0
0.005775	-1570.0	1560.0
0.0058	-1540.0	1590.0
0.005825	-1510.0	1590.0
0.00585	-1450.0	1560.0
0.005875	-1420.0	1520.0
0.0059	-1390.0	1450.0
0.005925	-1390.0	1400.0
0.00595	-1420.0	1350.0
0.005975	-1460.0	1340.0
0.006	-1510.0	1370.0
0.006025	-1520.0	1400.0
0.00605	-1520.0	1440.0
0.006075	-1500.0	1460.0
0.0061	-1440.0	1470.0
0.006125	-1390.0	1450.0
0.00615	-1310.0	1410.0
0.006175	-1270.0	1370.0
0.0062	-1240.0	1330.0
0.006225	-1260.0	1320.0
0.00625	-1320.0	1360.0
0.006275	-1370.0	1400.0
0.0063	-1450.0	1480.0
0.006325	-1480.0	1540.0
0.00635	-1500.0	1610.0000000000002
0.006375	-1500.0	1639.9999999999998
0.0064	-1480.0	1660.0000000000002
0.006425	-1470.0	1660.0000000000002
0.00645	-1460.0	1620.0
0.006475	-1470.0	1580.0
0.0065	-1500.0	1500.0
0.006525	-1530.0	1460.0
0.00655	-1590.0	1410.0
0.006575	-1610.0000000000002	1390.0
0.0066	-1610.0000000000002	1390.0
0.006625	-1590.0	1400.0
0.00665	-1530.0	1400.0
0.006675	-1470.0	1380.0
0.0067	-1380.0	1330.0
0.006725	-1310.0	1280.0
0.00675	-1210.0	1240.0
0.006775	-1170.0	1230.0
0.0068	-1150.0	1260.0
0.006825	-1180.0	1310.0
0.00685	-1260.0	1400.0
0.006875	-1330.0	1480.0
0.0069	-1400.0	1580.0
0.006925	-1440.0	1639.9999999999998
0.00695	-1470.0	1700.0
0.006975	-1480.0	1730.0
0.007	-1500.0	1730.0
0.00705	-1560.0	1680.0
0.0071	-1660.0000000000002	1540.0
0.00715	-1680.0	1440.0
0.0072	-1620.0	1360.0
0.00725	-1460.0	1260.0
0.0073	-1260.0	1160.0
0.00735	-1080.0	1160.0
0.0074	-1080.0	1320.0
0.00745	-1220.0	1520.0
0.0075	-1400.0	1700.0
0.00755	-1500.0	1800.0
0.0076	-1620.0	1820.0
0.00765	-1720.0	1720.0
0.0077	-1760.0000000000002	1580.0
0.00775	-1700.0	1400.0
0.0078	-1560.0	1240.0
0.00785	-1400.0	1100.0
0.0079	-1120.0	1040.0
0.00795	-960.0	1200.0
0.008	-1019.9999999999999	1420.0
0.00805	-1260.0	1639.9999999999998
0.0081	-1480.0	1800.0
0.00815	-1660.0000000000002	1880.0
0.0082	-1780.0	1860.0000000000002
0.00825	-1820.0	1739.9999999999998
0.0083	-1800.0	1540.0
0.00835	-1660.0000000000002	1300.0
0.0084	-1460.0	1040.0
0.00845	-1220.0	940.0
0.0085	-980.0000000000001	1080.0
0.00855	-860.0	1320.0
0.0086	-1080.0	1560.0
0.00865	-1380.0	1760.0000000000002
0.0087	-1600.0	1880.0
0.00875	-1800.0	2020.0
0.0088	-1900.0	1900.0
0.00885	-1860.0000000000002	1720.0
0.0089	-1760.0000000000002	1460.0
0.00895	-1580.0	1140.0
0.009	-1340.0	860.0
0.00905	-1060.0	960.0
0.0091	-840.0	1200.0
0.00915	-880.0000000000001	1460.0
0.0092	-1260.0	1680.0
0.00925	-1580.0	1980.0
0.0093	-1780.0	2039.9999999999998
0.00935	-2000.0	2060.0
0.0094	-2020.0	1980.0
0.00945	-1960.0000000000002	1660.0000000000002
0.0095	-1680.0	1320.0
0.00955	-1440.0	900.0
0.0096	-1180.0	840.0
0.00965	-900.0	1080.0
0.0097	-740.0	1340.0
0.00975	-1100.0	2100.0
0.0098	-1500.0	1939.9999999999998
