I_mag	crit_current_neg	crit_current_pos
0.004	-1400.0	1336.0
0.00401	-1400.0	1342.0
0.00402	-1398.0	1326.0
0.00403	-1390.0	1316.0
0.00404	-1386.0	1310.0
0.00405	-1378.0	1302.0
0.00406	-1370.0	1294.0
0.00407	-1358.0	1284.0
0.00408	-1348.0	1272.0
0.00409	-1340.0	1262.0
0.0041	-1326.0	1252.0
0.00411	-1312.0	1240.0
0.00412	-1280.0	1212.0
0.00413	-1268.0	1196.0
0.00414	-1254.0	1186.0
0.00415	-1238.0	1176.0
0.00416	-1226.0	1168.0
0.00417	-1214.0	1164.0
0.00418	-1220.0	1160.0
0.00419	-1194.0	1154.0
0.0042	-1188.0	1154.0
0.00421	-1180.0	1154.0
0.00422	-1180.0	1160.0
0.00423	-1176.0	1164.0
0.00424	-1170.0	1170.0
0.00425	-1170.0	1182.0
0.00426	-1174.0	1192.0
0.00427	-1178.0	1202.0
0.00428	-1182.0	1214.0
0.00429	-1178.0	1220.0
0.0043	-1182.0	1230.0
0.00431	-1182.0	1232.0
0.00432	-1194.0	1258.0
0.00433	-1202.0	1274.0
0.00434	-1210.0	1286.0
0.00435	-1208.0	1286.0
0.00436	-1220.0	1310.0
0.00437	-1226.0	1322.0
0.00438	-1230.0	1334.0
0.00439	-1234.0	1340.0
0.0044	-1240.0	1346.0
0.00441	-1244.0	1352.0
0.00442	-1254.0	1358.0
0.00443	-1260.0	1358.0
0.00444	-1266.0	1360.0
0.00445	-1274.0	1360.0
0.00446	-1284.0	1358.0
0.00447	-1292.0	1356.0
0.00448	-1292.0	1356.0
0.00449	-1310.0	1348.0
0.0045	-1320.0	1342.0
0.00451	-1326.0	1340.0
0.00452	-1326.0	1336.0
0.00453	-1342.0	1330.0
0.00454	-1338.0	1320.0
0.00455	-1344.0	1310.0
0.00456	-1350.0	1308.0
0.00457	-1352.0	1300.0
0.00458	-1354.0	1302.0
0.00459	-1354.0	1298.0
0.0046	-1354.0	1294.0
0.00461	-1348.0	1286.0
0.00462	-1344.0	1284.0
0.00463	-1338.0	1278.0
0.00464	-1330.0	1272.0
0.00465	-1326.0	1274.0
0.00466	-1316.0	1262.0
0.00467	-1312.0	1264.0
0.00468	-1288.0	1246.0
0.00469	-1282.0	1234.0
0.0047	-1266.0	1224.0
0.00471	-1256.0	1212.0
