I_mag	crit_current_neg	crit_current_pos
0.0	-1374.0	1314.0
2e-05	-1358.0	1266.0
4e-05	-1334.0	1222.0
6e-05	-1314.0	1174.0
8e-05	-1286.0	1118.0
0.0001	-1250.0	1078.0
0.00012	-1218.0	1046.0
0.00014	-1194.0	1030.0
0.00016	-1154.0	1026.0
0.00018	-1122.0	1034.0
0.0002	-1090.0	1050.0
0.00022	-1066.0	1078.0
0.00024	-1046.0	1110.0
0.00026	-1030.0	1142.0
0.00028	-1026.0	1182.0
0.0003	-1038.0	1210.0
0.00032	-1062.0	1246.0
0.00034	-1102.0	1274.0
0.00036	-1150.0	1298.0
0.00038	-1186.0	1326.0
0.0004	-1238.0	1362.0
0.00042	-1286.0	1382.0
0.00044	-1334.0	1390.0
0.00046	-1362.0	1406.0
0.00048	-1382.0	1418.0
0.0005	-1410.0	1410.0
0.00052	-1426.0	1406.0
0.00054	-1398.0	1386.0
0.00056	-1390.0	1354.0
0.00058	-1390.0	1298.0
0.0006	-1378.0	1254.0
0.00062	-1354.0	1206.0
0.00064	-1318.0	1158.0
0.00066	-1266.0	1102.0
0.00068	-1238.0	1062.0
0.0007	-1206.0	1034.0
0.00072	-1170.0	1018.0
0.00074	-1134.0	1022.0000000000001
0.00076	-1102.0	1034.0
0.00078	-1074.0	1058.0
0.0008	-1050.0	1082.0
0.00082	-1030.0	1114.0
0.00084	-1018.0	1146.0
0.00086	-1018.0	1182.0
0.00088	-1038.0	1214.0
0.0009	-1070.0	1254.0
0.00092	-1110.0	1294.0
0.00094	-1158.0	1310.0
0.00096	-1210.0	1334.0
0.00098	-1258.0	1374.0
0.001	-1306.0	1398.0
0.00102	-1342.0	1406.0
0.00104	-1378.0	1406.0
0.00106	-1390.0	1394.0
0.00108	-1406.0	1394.0
0.0011	-1406.0	1394.0
0.00112	-1390.0	1366.0
0.00114	-1382.0	1318.0
0.00116	-1362.0	1282.0
0.00118	-1342.0	1226.0
0.0012	-1314.0	1182.0
0.00122	-1290.0	1134.0
0.00124	-1254.0	1082.0
0.00126	-1218.0	1054.0
0.00128	-1194.0	1038.0
0.0013	-1166.0	1030.0
0.00132	-1130.0	1038.0
0.00134	-1102.0	1054.0
0.00136	-1074.0	1078.0
0.00138	-1054.0	1110.0
0.0014	-1034.0	1142.0
0.00142	-1038.0	1170.0
0.00144	-1042.0	1206.0
0.00146	-1070.0	1238.0
0.00148	-1102.0	1270.0
0.0015	-1142.0	1298.0
0.00152	-1190.0	1334.0
0.00154	-1238.0	1366.0
0.00156	-1286.0	1382.0
0.00158	-1318.0	1394.0
0.0016	-1350.0	1406.0
0.00162	-1366.0	1418.0
0.00164	-1406.0	1418.0
0.00166	-1394.0	1402.0
0.00168	-1394.0	1386.0
0.0017	-1406.0	1342.0
0.00172	-1386.0	1294.0
0.00174	-1350.0	1250.0
0.00176	-1330.0	1214.0
0.00178	-1318.0	1170.0
0.0018	-1282.0	1126.0
0.00182	-1246.0	1086.0
0.00184	-1214.0	1062.0
0.00186	-1178.0	1046.0
0.00188	-1150.0	1050.0
0.0019	-1130.0	1058.0
0.00192	-1094.0	1074.0
0.00194	-1074.0	1102.0
0.00196	-1058.0	1122.0
0.00198	-1046.0	1150.0
0.002	-1054.0	1186.0
0.00202	-1062.0	1222.0
0.00204	-1086.0	1246.0
0.00206	-1130.0	1286.0
0.00208	-1162.0	1306.0
0.0021	-1210.0	1334.0
0.00212	-1250.0	1354.0
0.00214	-1290.0	1382.0
0.00216	-1318.0	1390.0
0.00218	-1350.0	1402.0
0.0022	-1382.0	1398.0
0.00222	-1398.0	1390.0
0.00224	-1382.0	1374.0
0.00226	-1378.0	1354.0
0.00228	-1390.0	1318.0
